key	en	es	state	batch	reviewer	rev_date	qupath_ver	issues	notes
ContextHelp.warning.gamma	Gamma value is not 1.0. This affects how the image is displayed.\nChange the gamma with the brightness/contrast dialog.	El valor de gamma no es 1.0. Esto afecta a cómo se muestra la imagen.\nCambie la gamma en el cuadro de diálogo de brillo/contraste.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.invertedBackground	Image is being shown with inverted background.\nChange this option in the brightness/contrast dialog.	La imagen se muestra con el fondo invertido.\nCambie esta opción en el cuadro de diálogo de brillo/contraste.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.greyscale	"Image is being shown in greyscale, which only views one channel at a time.\nChange the channel being viewed or disable ""Show greyscale"" in the brightness/contrast dialog."	"La imagen se muestra en escala de grises, lo que solo permite ver un canal a la vez.\nCambie el canal visualizado o desactive ""Mostrar escala de grises"" en el cuadro de diálogo de brillo/contraste."	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.noChannels	No channels are selected!\nUse the 'Brightness/Contrast' command to select channels.	¡No hay ningún canal seleccionado!\nUse el comando 'Brillo/Contraste' para seleccionar canales.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.colorsSimilar	At least one classification color is similar to the default object color.\nIt will be hard to see whether objects are classified.	Al menos un color de clasificación es similar al color de objeto predeterminado.\nSerá difícil distinguir si los objetos están clasificados.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.unseenErrors	There are errors reported in the log that have not yet been seen.\nPlease check the log for details.	Hay errores registrados que todavía no se han consultado.\nRevise el registro para ver los detalles.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.pixelSizeMissing	Pixel size information is not set.\nThis is required for some commands, and can be set under the 'Image' tab.	No se ha definido el tamaño de píxel.\nEs necesario para algunos comandos y puede definirse en la pestaña 'Imagen'.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.pixelSizeDpi	Pixel size value is suspicious.\nIt looks like it is a dots-per-inch resolution value, which may be incorrect.	El valor del tamaño de píxel resulta sospechoso.\nParece un valor de resolución en puntos por pulgada, lo que podría ser incorrecto.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.imageTypeMissing	The image type is not set.\nThis is required for some commands, and can be set under the 'Image' tab.	No se ha definido el tipo de imagen.\nEs necesario para algunos comandos y puede definirse en la pestaña 'Imagen'.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.largeNonPyramidalImage	The image is large, but not pyramidal (i.e. multi-resolution).\nThis may cause performance problems that can be fixed by creating a pyramidal image.	La imagen es grande pero no es piramidal (es decir, multirresolución).\nEsto puede causar problemas de rendimiento que se solucionan creando una imagen piramidal.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.title	Welcome	Bienvenido	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.develop	Develop	Desarrollar	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.developMessage	Check out QuPath's source code on GitHub -\nor see what's new in the ChangeLog	Consulte el código fuente de QuPath en GitHub\no vea las novedades en el registro de cambios	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.discuss	Discuss	Debatir	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.discussMessage	Join other QuPath users & search thousands of discussions\non the Scientific Community Image Forum	Únase a otros usuarios de QuPath y busque entre miles de debates\nen el Scientific Community Image Forum	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.docs	Docs	Documentación	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.docsMessage	Find QuPath step-by-step guides, video tutorials\n& more on ReadTheDocs	Encuentre guías paso a paso de QuPath, videotutoriales\ny mucho más en ReadTheDocs	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.welcomeMessage	Welcome to QuPath!	¡Bienvenido a QuPath!	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.chooseTheme	Choose theme	Elegir tema	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.checkUpdates	Check for updates	Buscar actualizaciones	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.showOnStartup	Show this on startup	Mostrar al iniciar	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.cite	Don't forget to cite the latest QuPath paper when you use the software!	¡No olvide citar el artículo más reciente de QuPath cuando use el software!	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.clickForDetails	Click here for details	Haga clic aquí para ver los detalles	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.getStarted	Get started!	¡Comenzar!	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.defaultMessage	Find out more about QuPath, customize key options,\nor click 'Get started!' to close this message	Descubra más sobre QuPath, personalice las opciones principales\no haga clic en '¡Comenzar!' para cerrar este mensaje	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Welcome.macOsAarch64	Bio-Formats does not yet fully support Apple Silicon -\na few image formats (e.g. .czi, .ndpis) only work with the Intel build\n{{Click here}} for more information.	Bio-Formats todavía no admite completamente Apple Silicon:\nunos pocos formatos de imagen (p. ej. .czi, .ndpis) solo funcionan con la versión Intel\n{{Haga clic aquí}} para más información.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Startup.scriptTitle	Startup script	Script de inicio	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Startup.scriptRun	Running startup script\n%s	Ejecutando el script de inicio\n%s	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
AnalysisPane.projectTab	Project	Proyecto	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
AnalysisPane.imageTab	Image	Imagen	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
AnalysisPane.annotationsTab	Annotations	Anotaciones	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
AnalysisPane.hierarchyTab	Hierarchy	Jerarquía	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
AnalysisPane.historyTab	Command history	Historial de comandos	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
AnalysisPane.workflowTab	Workflow	Flujo de trabajo	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
AnalysisPane.switchText	Switch to %s pane.\nYou can also right-click a tab to undock it into its own window.Then close the window to make it a tab again.	Cambiar al panel %s.\nTambién puede hacer clic derecho en una pestaña para desacoplarla en su propia ventana. Después, cierre la ventana para convertirla de nuevo en pestaña.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
AnalysisPane.measurementsTab	Measurements	Mediciones	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
AnalysisPane.descriptionTab	Description	Descripción	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Dialogs.noImage	No image is available!	¡No hay ninguna imagen disponible!	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Dialogs.noProject	No project is available!	¡No hay ningún proyecto disponible!	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
General.objects.annotations	Annotations	Anotaciones	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
General.objects.detections	Detections	Detecciones	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
General.objects.cells	Cells	Células	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
General.objects.tiles	Tiles	Teselas	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
General.objects.tmaCores	TMA cores	Cilindros TMA	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
General.add	Add	Añadir	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
General.remove	Remove	Quitar	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
General.deleteObject	Delete object	Eliminar objeto	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
General.deleteObjects	Delete objects	Eliminar objetos	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.move	Move	Mover	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.move.description	Move tool, both for moving around the viewer (panning) and moving objects (translating)	Herramienta de movimiento, tanto para desplazarse por el visor (panorámica) como para mover objetos (traslación)	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.rectangle	Rectangle	Rectángulo	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.rectangle.description	Click and drag to draw a rectangle annotation.\nHold down 'Shift' to constrain shape to be a square.	Haga clic y arrastre para dibujar una anotación rectangular.\nMantenga pulsada la tecla 'Mayús' para restringir la forma a un cuadrado.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.ellipse	Ellipse	Elipse	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.ellipse.description	Click and drag to draw an ellipse annotation.\nHold down 'Shift' to constrain shape to be a circle.	Haga clic y arrastre para dibujar una anotación elíptica.\nMantenga pulsada la tecla 'Mayús' para restringir la forma a un círculo.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.line	Line	Línea	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.line.description	Click and drag to draw a line annotation.\nRight-click the toolbar button to optionally switch to use arrowheads.	Haga clic y arrastre para dibujar una anotación lineal.\nHaga clic derecho en el botón de la barra de herramientas para cambiar opcionalmente al uso de puntas de flecha.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.arrowStart	Arrow (start)	Flecha (inicio)	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.arrowEnd	Arrow (end)	Flecha (fin)	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.arrowDouble	Arrow (double)	Flecha (doble)	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.polygon	Polygon	Polígono	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.polygon.description	Create a closed polygon annotation.\nYou can either click individual points (with double-click to end) or click and drag (and release the mouse button to end).	Crear una anotación con forma de polígono cerrado.\nPuede hacer clic en puntos individuales (con doble clic para terminar) o hacer clic y arrastrar (y soltar el botón del ratón para terminar).	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.polyline	Polyline	Polilínea	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.polyline.description	Create a polyline (i.e. open polygon) annotation.\nYou can either click individual points (with double-click to end) or click and drag (and release the mouse button to end).	Crear una anotación con forma de polilínea (es decir, un polígono abierto).\nPuede hacer clic en puntos individuales (con doble clic para terminar) o hacer clic y arrastrar (y soltar el botón del ratón para terminar).	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.brush	Brush	Pincel	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.brush.description	Click and drag to paint with a brush.\nBy default, the size of the region being drawn depends upon the zoom level in the viewer.	Haga clic y arrastre para pintar con un pincel.\nDe forma predeterminada, el tamaño de la región dibujada depende del nivel de zoom del visor.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.points	Points	Puntos	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.points.description	Click to add points to an annotation	Haga clic para añadir puntos a una anotación	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.selectionMode	Selection mode	Modo de selección	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Tools.selectionMode.description	Turn on/off selection mode - this converts drawing tools into selection tools	Activar o desactivar el modo de selección: convierte las herramientas de dibujo en herramientas de selección	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Toolbar.overlayOpacity.description	Adjust the overlay opacity	Ajustar la opacidad de la superposición	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Toolbar.magnification	Magnification	Magnificación	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Toolbar.magnification.description	Display magnification - double-click to edit	Magnificación mostrada: haga doble clic para editarla	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Toolbar.setMagnification	Set magnification	Establecer magnificación	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Toolbar.setDownsample	Set downsample factory	Establecer factor de submuestreo	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Toolbar.magnificationScale.description	Display scale value - double-click to edit	Valor de escala mostrado: haga doble clic para editarlo	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Toolbar.showMeasurementsTable.description	Show measurements table	Mostrar la tabla de mediciones	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Toolbar.viewerMenu.description	Options to show/hide items on QuPath's viewer - and other helper windows	Opciones para mostrar u ocultar elementos del visor de QuPath, y otras ventanas auxiliares	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Toolbar.message.promptMagnification	Enter magnification	Introduzca la magnificación	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Toolbar.message.invalidMagnification	Invalid magnification %s.\nPlease use a value greater than 0.	Magnificación no válida %s.\nUse un valor mayor que 0.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Toolbar.message.promptDownsample	Enter downsample factor	Introduzca el factor de submuestreo	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Toolbar.message.invalidDownsample	Invalid downsample %s.\nPlease use a value greater than 0.	Factor de submuestreo no válido %s.\nUse un valor mayor que 0.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showCountingGrid	Show grid	Mostrar cuadrícula	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showCountingGrid.description	Show/hide the counting grid overlay	Mostrar u ocultar la superposición de la cuadrícula de recuento	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.setCountingGridSpacing	Set grid spacing	Establecer espaciado de cuadrícula	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.setCountingGridSpacing.description	Set the spacing for the counting grid	Establecer el espaciado de la cuadrícula de recuento	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showPixelOverlay	Show pixel classification	Mostrar clasificación de píxeles	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showPixelOverlay.description	Show/hide the pixel overlay (used for pixel classification)	Mostrar u ocultar la superposición de píxeles (usada para la clasificación de píxeles)	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showAnnotations	Show annotations	Mostrar anotaciones	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showAnnotations.description	Show/hide annotation objects	Mostrar u ocultar los objetos de anotación	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showAnnotationNames	Show annotation names	Mostrar nombres de anotación	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showAnnotationNames.description	Show/hide annotation names (where available)	Mostrar u ocultar los nombres de las anotaciones (cuando estén disponibles)	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.fillAnnotations	Fill annotations	Rellenar anotaciones	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.fillAnnotations.description	Fill/unfill annotation object ROIs for display	Rellenar o no las ROI de los objetos de anotación al mostrarlos	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showDetections	Show detections	Mostrar detecciones	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showDetections.description	Show/hide detection objects	Mostrar u ocultar los objetos de detección	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.fillDetections	Fill detections	Rellenar detecciones	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.fillDetections.description	Fill/unfill detection object ROIs for display	Rellenar o no las ROI de los objetos de detección al mostrarlos	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showTMAGrid	Show TMA grid	Mostrar cuadrícula TMA	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showTMAGrid.description	Show/hide the tissue microarray grid (where available)	Mostrar u ocultar la cuadrícula de la matriz de tejidos (cuando esté disponible)	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showTMALabels	Show TMA grid labels	Mostrar etiquetas de la cuadrícula TMA	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showTMALabels.description	Show/hide the tissue microarray core labels (where available)	Mostrar u ocultar las etiquetas de los cilindros de la matriz de tejidos (cuando estén disponibles)	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showConnections	Show object connections	Mostrar conexiones entre objetos	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showConnections.description	Show connections between objects, if available.\nThis can be used alongside some spatial commands, such as to display a Delaunay triangulation as an overlay.	Mostrar las conexiones entre objetos, si están disponibles.\nEsto puede usarse junto con algunos comandos espaciales, por ejemplo para mostrar una triangulación de Delaunay como superposición.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showCellBoundaries	Cell boundaries only	Solo límites celulares	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showCellBoundaries.description	Display cells by drawing the cell boundary ROI only	Mostrar las células dibujando únicamente la ROI del límite celular	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showCellNuclei	Nuclei only	Solo núcleos	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showCellNuclei.description	Display cells by drawing the cell nucleus ROIs only	Mostrar las células dibujando únicamente las ROI de los núcleos celulares	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showCellBoth	Nuclei & cell boundaries	Núcleos y límites celulares	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showCellBoth.description	Display cells by drawing both the cell boundary and nucleus ROIs, where available	Mostrar las células dibujando tanto la ROI del límite celular como la del núcleo, cuando estén disponibles	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showCellCentroids	Cell centroids only	Solo centroides celulares	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
OverlayActions.showCellCentroids.description	Display cells by drawing the cell centroids only.\nThe shape and color will depend upon the classification.	Mostrar las células dibujando únicamente los centroides celulares.\nLa forma y el color dependerán de la clasificación.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ViewerActions.overview	Show slide overview	Mostrar vista general de la preparación	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ViewerActions.overview.description	Show/hide the viewer overview image. This is a clickable thumbnail used for navigation.	Mostrar u ocultar la imagen de vista general del visor. Es una miniatura en la que se puede hacer clic para navegar.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ViewerActions.location	Show cursor location	Mostrar posición del cursor	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ViewerActions.location.description	Show/hide the cursor location text	Mostrar u ocultar el texto con la posición del cursor	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ViewerActions.scalebar	Show scalebar	Mostrar barra de escala	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ViewerActions.scalebar.description	Show/hide the viewer scalebar	Mostrar u ocultar la barra de escala del visor	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ViewerActions.zProject	Show Z-project overlay	Mostrar superposición de proyección Z	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ViewerActions.zProject.description	Show/hide controls to view projections of z-stacks.	Mostrar u ocultar los controles para ver proyecciones de pilas z.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ViewerActions.synchronize	Synchronize viewers	Sincronizar visores	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ViewerActions.synchronize.description	Synchronize panning and zooming when working with images open in multiple viewers	Sincronizar el desplazamiento y el zoom al trabajar con imágenes abiertas en varios visores	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ViewerActions.matchResolutions	Match viewer resolutions	Igualar resoluciones de los visores	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ViewerActions.matchResolutions.description	Adjust zoom factors to match the resolutions of images open in multiple viewers	Ajustar los factores de zoom para igualar las resoluciones de las imágenes abiertas en varios visores	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ViewerActions.detachViewer	Detach viewer from grid	Desacoplar el visor de la cuadrícula	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
